Partner Name,Category,Contact Name,Contact Email,Contact Title,Status,Next Step,Projected Close Date,Estimated Annual Value,Last Contact Date,Notes
Premier Inc.,GPO,TBD - Innovation Team,partnerships@premierinc.com,VP Innovation,Research,Identify warm intro path,2026-04-30,$500000,,4400+ hospitals - largest GPO opportunity
Vizient,GPO,TBD - Innovation Lab,innovation@vizientinc.com,Director Innovation,Research,Apply to innovation lab program,2026-05-15,$400000,,50% of US hospitals - strong value-based care focus
Fireblocks,Crypto Infrastructure,TBD - BD Team,partnerships@fireblocks.com,VP Partnerships,Research,Send cold outreach email,2026-03-15,$50000,,Priority: Custody & security solution
Chainalysis,Crypto Compliance,TBD - Healthcare Lead,healthcare@chainalysis.com,Enterprise Sales,Research,Send cold outreach email,2026-03-01,$30000,,Priority: AML/KYC compliance partner
Athenahealth,EHR,TBD - Marketplace Team,marketplace@athenahealth.com,Marketplace Partnerships,Research,Apply to Marketplace Partner Program,2026-05-30,$300000,,Leading ambulatory EHR - marketplace model
NextGen Healthcare,EHR,TBD - Partnerships,partnerships@nextgen.com,VP Business Development,Research,Explore white-label opportunity,2026-06-15,$250000,,Mid-market focus aligns well
Stripe,Payment Processor,TBD - Healthcare Vertical,healthcare@stripe.com,Vertical Lead,Research,Developer partnership inquiry,2026-04-15,$100000,,Crypto on-ramp integration opportunity
Circle,Stablecoin,TBD - Enterprise Team,enterprise@circle.com,Enterprise Partnerships,Research,USDC settlement integration,2026-04-30,$150000,,Regulatory-compliant stablecoin leader
Plaid,Financial Infrastructure,TBD - Partnerships,partnerships@plaid.com,Partnership Manager,Research,ACH/bank verification integration,2026-04-01,$75000,,Seamless account linking capability
Coinbase,Crypto Exchange,TBD - Institutional,institutional@coinbase.com,Institutional BD,Research,Merchant services discussion,2026-05-01,$200000,,Enterprise on/off-ramp solution
